,chan,send,receive,select,close,range,Waigroup,Add(x),Done(),Wait(),Mutex,Lock,Unlock
count,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0
mean,58.688,55.296,123.968,51.12,16.544,2.312,12.36,13.824,15.152,12.896,4.984,8.08,8.208
std,119.74518752536102,105.94772174018412,235.8433370118885,93.59216606312248,35.11811957637603,5.083839037070185,27.32551684722069,31.081595010344895,33.367469187818244,29.374891626430145,10.652868764010275,16.434915625366113,16.777142668792926
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,4.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
50%,12.0,15.0,27.0,10.0,2.0,0.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0
75%,54.0,54.0,118.0,49.0,11.0,2.0,9.0,9.0,11.0,10.0,5.0,9.0,9.0
max,826.0,762.0,1357.0,499.0,204.0,28.0,193.0,214.0,220.0,197.0,82.0,113.0,113.0
