,chan,send,receive,select,close,range
count,119.0,119.0,119.0,119.0,119.0,119.0
mean,4.027658882352941,4.339117134453781,7.67761949579832,2.9151588907563024,0.8161677731092436,0.1753473025210084
std,3.6664383271521084,4.611534242035722,5.645204308156036,2.507532379926163,1.0894293449111323,0.5347396364327025
min,0.264114,0.0,0.0,0.0,0.0,0.0
25%,1.9729105,1.7235070000000001,3.5019584999999998,0.985679,0.0,0.0
50%,3.011376,3.099529,6.339144,2.279725,0.45919,0.0
75%,4.976278000000001,5.255867,10.3876445,4.187749,1.212885,0.1539505
max,30.940594,30.940594,28.846154,12.635379,7.666099,5.110733
