,send,receive,select,close,range
count,119.0,119.0,119.0,119.0,119.0
mean,1.115984142857143,2.1436526890756302,0.8433827142857143,0.20069258823529412,0.04456178151260504
std,0.6774458063626895,1.2031655155879832,0.6922013441140696,0.20809571454177295,0.1185596633236888
min,0.0,0.0,0.0,0.0,0.0
25%,0.7156355,1.3718435,0.389759,0.0,0.0
50%,1.0,1.877778,0.692308,0.166667,0.0
75%,1.3962965,2.5936310000000002,1.0971945,0.302612,0.040635500000000005
max,5.0,6.666667,4.4,1.0,1.0
