ipfs-go-ipfs,1.481481,2.185185,0.851852,0.518519,0.111111
snail007-goproxy,1.111111,0.777778,0.111111,0.111111,0.111111
zyedidia-micro,0.777778,0.444444,0.111111,0.111111,0.222222
containers-podman,0.660377,1.735849,0.339623,0.264151,0.150943
wagoodman-dive,2.500000,0.000000,0.000000,1.000000,0.000000
gogs-gogs,1.333333,2.000000,0.333333,0.000000,0.000000
chrislusf-seaweedfs,1.262295,1.131148,0.344262,0.229508,0.114754
gizak-termui,1.000000,1.000000,0.000000,0.000000,0.000000
grafana-k6,0.484848,1.368687,0.373737,0.308081,0.111111
grpc-grpc-go,0.779661,5.841808,1.435028,0.474576,0.005650
k3s-io-k3s,0.600000,4.300000,1.400000,0.700000,0.000000
syncthing-syncthing,0.725389,2.471503,0.766839,0.367876,0.025907
asim-go-micro,0.630435,2.413043,0.695652,0.260870,0.021739
txthinking-brook,0.500000,1.500000,1.000000,0.000000,0.000000
go-gitea-gitea,2.243902,4.853659,0.731707,0.219512,0.048780
go-kratos-kratos,0.307692,2.000000,0.461538,0.076923,0.000000
halfrost-LeetCode-Go,1.250000,1.500000,0.250000,0.000000,0.000000
restic-restic,1.317073,2.536585,1.487805,0.560976,0.341463
dapr-dapr,1.116279,2.930233,0.813953,0.093023,0.000000
evanw-esbuild,2.750000,1.250000,0.000000,0.000000,0.000000
vitessio-vitess,1.120635,2.285714,0.539683,0.349206,0.076190
v2fly-v2ray-core,1.851852,5.037037,1.222222,0.370370,0.037037
filebrowser-filebrowser,0.000000,1.000000,0.000000,0.000000,0.000000
pulumi-pulumi,0.781955,1.060150,0.323308,0.218045,0.060150
tsenart-vegeta,0.750000,1.250000,0.500000,0.750000,0.000000
v2ray-v2ray-core,2.041667,4.750000,1.125000,0.333333,0.041667
elastic-beats,1.011976,2.550898,0.802395,0.287425,0.023952
golang-go,0.922518,1.642857,0.322034,0.246973,0.033898
influxdata-influxdb,1.160000,2.166667,0.506667,0.333333,0.093333
spf13-viper,0.666667,1.666667,0.666667,0.000000,0.000000
bcicen-ctop,1.266667,0.533333,0.133333,0.200000,0.133333
gocolly-colly,1.200000,1.200000,0.400000,0.200000,0.000000
helm-helm,1.000000,1.666667,0.000000,0.000000,0.000000
uber-go-zap,0.250000,1.375000,0.250000,0.500000,0.000000
go-redis-redis,0.906250,2.093750,0.687500,0.218750,0.000000
kubernetes-kops,1.166667,3.333333,1.083333,0.166667,0.000000
labstack-echo,1.000000,0.680000,0.080000,0.000000,0.000000
tal-tech-go-zero,1.088235,1.323529,0.338235,0.514706,0.014706
kubernetes-ingress-nginx,1.758621,0.931034,0.206897,0.103448,0.000000
kubernetes-dashboard,2.085714,2.400000,0.128571,0.057143,0.000000
