ory-hydra,7.000000,2.000000,6.000000,0.000000,2.000000,1.000000
wtfutil-wtf,4.000000,6.000000,11.000000,3.000000,0.000000,0.000000
bettercap-bettercap,12.000000,21.000000,15.000000,5.000000,1.000000,0.000000
go-kit-kit,111.000000,57.000000,168.000000,68.000000,17.000000,0.000000
micro-micro,34.000000,24.000000,76.000000,23.000000,5.000000,0.000000
Netflix-chaosmonkey,1.000000,2.000000,0.000000,0.000000,0.000000,1.000000
rancher-rancher,18.000000,22.000000,56.000000,21.000000,6.000000,2.000000
go-gorm-gorm,1.000000,0.000000,3.000000,0.000000,0.000000,0.000000
ehang-io-nps,6.000000,6.000000,21.000000,12.000000,0.000000,0.000000
gorilla-websocket,5.000000,6.000000,9.000000,2.000000,1.000000,0.000000
ipfs-go-ipfs,54.000000,80.000000,118.000000,46.000000,28.000000,6.000000
snail007-goproxy,9.000000,10.000000,7.000000,1.000000,1.000000,1.000000
zyedidia-micro,9.000000,7.000000,4.000000,1.000000,1.000000,2.000000
containers-podman,53.000000,35.000000,92.000000,18.000000,14.000000,8.000000
wagoodman-dive,2.000000,5.000000,0.000000,0.000000,2.000000,0.000000
gogs-gogs,3.000000,4.000000,6.000000,1.000000,0.000000,0.000000
chrislusf-seaweedfs,61.000000,77.000000,69.000000,21.000000,14.000000,7.000000
gizak-termui,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
grafana-k6,198.000000,96.000000,271.000000,74.000000,61.000000,22.000000
grpc-grpc-go,177.000000,138.000000,1034.000000,254.000000,84.000000,1.000000
k3s-io-k3s,10.000000,6.000000,43.000000,14.000000,7.000000,0.000000
syncthing-syncthing,193.000000,140.000000,477.000000,148.000000,71.000000,5.000000
asim-go-micro,46.000000,29.000000,111.000000,32.000000,12.000000,1.000000
txthinking-brook,2.000000,1.000000,3.000000,2.000000,0.000000,0.000000
go-gitea-gitea,41.000000,92.000000,199.000000,30.000000,9.000000,2.000000
go-kratos-kratos,13.000000,4.000000,26.000000,6.000000,1.000000,0.000000
halfrost-LeetCode-Go,4.000000,5.000000,6.000000,1.000000,0.000000,0.000000
restic-restic,41.000000,54.000000,104.000000,61.000000,23.000000,14.000000
dapr-dapr,43.000000,48.000000,126.000000,35.000000,4.000000,0.000000
evanw-esbuild,4.000000,11.000000,5.000000,0.000000,0.000000,0.000000
vitessio-vitess,315.000000,353.000000,720.000000,170.000000,110.000000,24.000000
v2fly-v2ray-core,27.000000,50.000000,136.000000,33.000000,10.000000,1.000000
filebrowser-filebrowser,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
pulumi-pulumi,133.000000,104.000000,141.000000,43.000000,29.000000,8.000000
tsenart-vegeta,4.000000,3.000000,5.000000,2.000000,3.000000,0.000000
v2ray-v2ray-core,24.000000,49.000000,114.000000,27.000000,8.000000,1.000000
elastic-beats,167.000000,169.000000,426.000000,134.000000,48.000000,4.000000
golang-go,826.000000,762.000000,1357.000000,266.000000,204.000000,28.000000
influxdata-influxdb,150.000000,174.000000,325.000000,76.000000,50.000000,14.000000
spf13-viper,3.000000,2.000000,5.000000,2.000000,0.000000,0.000000
bcicen-ctop,15.000000,19.000000,8.000000,2.000000,3.000000,2.000000
gocolly-colly,5.000000,6.000000,6.000000,2.000000,1.000000,0.000000
helm-helm,3.000000,3.000000,5.000000,0.000000,0.000000,0.000000
uber-go-zap,8.000000,2.000000,11.000000,2.000000,4.000000,0.000000
go-redis-redis,32.000000,29.000000,67.000000,22.000000,7.000000,0.000000
kubernetes-kops,12.000000,14.000000,40.000000,13.000000,2.000000,0.000000
labstack-echo,25.000000,25.000000,17.000000,2.000000,0.000000,0.000000
tal-tech-go-zero,68.000000,74.000000,90.000000,23.000000,35.000000,1.000000
kubernetes-ingress-nginx,29.000000,51.000000,27.000000,6.000000,3.000000,0.000000
kubernetes-dashboard,70.000000,146.000000,168.000000,9.000000,4.000000,0.000000
