caddyserver-caddy,0.069930,0.069930
goharbor-harbor,0.015695,0.017937
jesseduffield-lazydocker,0.019417,0.019417
minio-minio,0.044474,0.045822
schollz-croc,0.277778,0.277778
GoogleContainerTools-skaffold,0.082210,0.084906
quii-learn-go-with-tests,0.016667,0.016667
sirupsen-logrus,0.007143,0.007143
dgraph-io-dgraph,0.014291,0.014291
kubernetes-minikube,0.011609,0.011609
stretchr-testify,0.021417,0.024712
yudai-gotty,0.072727,0.072727
fyne-io-fyne,0.005118,0.005629
gravitational-teleport,0.018753,0.018753
kataras-iris,0.014307,0.014307
fatedier-frp,0.190476,0.190476
Dreamacro-clash,0.135802,0.144033
grafana-loki,0.038546,0.039860
hashicorp-consul,0.001890,0.001937
CodisLabs-codis,0.430380,0.430380
grpc-ecosystem-grpc-gateway,0.021038,0.021038
google-grumpy,0.008915,0.008915
dutchcoders-transfer.sh,0.020408,0.020408
golang-groupcache,0.116279,0.139535
jesseduffield-lazygit,0.062500,0.062500
matryer-xbar,0.058824,0.058824
mattermost-mattermost-server,0.001422,0.001456
prometheus-prometheus,0.041626,0.041953
jmoiron-sqlx,0.005362,0.005362
pingcap-tidb,0.007632,0.007962
google-cadvisor,0.023179,0.023179
hashicorp-vault,0.001392,0.001428
kubernetes-kubernetes,0.042251,0.043297
rclone-rclone,0.080654,0.081205
beego-beego,0.045635,0.045635
photoprism-photoprism,0.016055,0.018021
ethereum-go-ethereum,0.047404,0.049852
boltdb-bolt,0.147059,0.176471
gohugoio-hugo,0.005568,0.005886
hashicorp-terraform,0.030266,0.030470
inconshreveable-ngrok,0.357143,0.357143
istio-istio,0.033496,0.034469
nsqio-nsq,0.033534,0.038693
traefik-traefik,0.007560,0.007560
cloudreve-Cloudreve,0.019417,0.019417
gofiber-fiber,0.007459,0.007459
nektos-act,0.111111,0.111111
valyala-fasthttp,0.081143,0.091429
hashicorp-packer,0.020833,0.020833
moby-moby,0.045958,0.049870
cli-cli,0.011204,0.014006
influxdata-telegraf,0.021410,0.022977
revel-revel,0.120879,0.120879
cayleygraph-cayley,0.029289,0.041841
derailed-k9s,0.016173,0.016173
hyperledger-fabric,0.010178,0.010393
junegunn-fzf,1.461538,1.846154
ory-hydra,0.004016,0.004016
wtfutil-wtf,0.024955,0.024955
bettercap-bettercap,0.023508,0.023508
go-kit-kit,0.006194,0.006757
micro-micro,0.029412,0.029412
rancher-rancher,0.030899,0.032303
ehang-io-nps,0.007538,0.007538
gorilla-websocket,0.019157,0.019157
ipfs-go-ipfs,0.010159,0.010159
snail007-goproxy,0.102564,0.128205
zyedidia-micro,0.181818,0.181818
containers-podman,0.003938,0.003347
gogs-gogs,0.009887,0.009887
chrislusf-seaweedfs,0.021175,0.022199
grafana-k6,0.010977,0.011649
grpc-grpc-go,0.040199,0.047893
iawia002-annie,0.031250,0.031250
k3s-io-k3s,0.023148,0.023148
syncthing-syncthing,0.036289,0.036289
asim-go-micro,0.074830,0.088435
go-gitea-gitea,0.134189,0.154026
go-kratos-kratos,0.019417,0.019417
restic-restic,0.216867,0.222892
dapr-dapr,0.008037,0.008037
evanw-esbuild,0.625000,0.638889
vitessio-vitess,0.031920,0.032828
v2fly-v2ray-core,0.016442,0.017029
pulumi-pulumi,0.028942,0.032934
tsenart-vegeta,0.012121,0.012121
v2ray-v2ray-core,0.012010,0.012642
elastic-beats,0.068908,0.069244
golang-go,0.053365,0.059918
influxdata-influxdb,0.021933,0.022443
gocolly-colly,0.008929,0.011905
helm-helm,0.015686,0.015686
uber-go-zap,0.053571,0.053571
go-redis-redis,0.128405,0.128405
kubernetes-kops,0.436992,0.436992
labstack-echo,0.000226,0.000226
tal-tech-go-zero,0.089412,0.091765
kubernetes-ingress-nginx,0.037383,0.037383
kubernetes-dashboard,0.148649,0.148649
