grafana-k6,12.254285,1.257771,0.215618,1.545262,1.257771
grpc-grpc-go,2.766878,0.503069,0.150921,0.704296,0.603682
iawia002-annie,6.093433,1.354096,0.000000,3.385240,1.354096
k3s-io-k3s,3.186316,0.167701,0.000000,0.000000,0.167701
syncthing-syncthing,1.136993,0.233229,0.058307,0.262383,0.320690
asim-go-micro,2.133966,1.185536,0.237107,1.659751,1.541197
go-gitea-gitea,1.730591,0.643941,0.080493,1.408621,0.563448
go-kratos-kratos,10.481366,0.776398,0.000000,1.164596,0.776398
halfrost-LeetCode-Go,7.518797,0.000000,7.518797,15.037594,7.518797
restic-restic,2.903811,0.544465,0.000000,0.544465,0.362976
dapr-dapr,6.934886,0.370566,0.000000,0.423504,0.264690
evanw-esbuild,1.372733,0.650242,0.577993,1.300484,1.300484
vitessio-vitess,20.776192,1.437841,0.030207,1.528461,1.341179
v2fly-v2ray-core,2.516567,0.000000,0.000000,0.000000,0.000000
pulumi-pulumi,0.598781,0.387447,0.035222,0.422669,0.352224
tsenart-vegeta,0.990426,0.198085,0.000000,0.132057,0.132057
v2ray-v2ray-core,2.734909,0.000000,0.000000,0.000000,0.000000
elastic-beats,19.979703,2.663960,0.317138,2.822529,2.663960
golang-go,2.876751,0.907511,0.189806,1.245603,1.132906
influxdata-influxdb,6.088606,0.673112,0.050993,0.805695,0.601722
spf13-viper,1.122965,1.122965,0.000000,1.965188,1.122965
bcicen-ctop,3.108003,0.777001,0.000000,0.777001,0.777001
gocolly-colly,39.974210,0.322373,0.000000,0.322373,0.322373
helm-helm,6.153846,0.576923,0.000000,0.576923,0.576923
uber-go-zap,5.257009,3.504673,0.584112,5.257009,4.672897
go-redis-redis,1.495998,1.346398,0.074800,1.346398,1.495998
kubernetes-kops,0.904068,0.150678,0.000000,0.150678,0.150678
labstack-echo,2.943341,0.735835,0.000000,0.735835,0.735835
tal-tech-go-zero,11.085682,4.863396,0.286082,5.793163,5.006437
kubernetes-ingress-nginx,0.491932,0.000000,0.000000,0.000000,0.000000
