pulumi-pulumi,0.647059,0.058824,0.705882,0.588235
tsenart-vegeta,0.200000,0.000000,0.133333,0.133333
v2ray-v2ray-core,0.000000,0.000000,0.000000,0.000000
elastic-beats,0.133333,0.015873,0.141270,0.133333
golang-go,0.315464,0.065979,0.432990,0.393814
influxdata-influxdb,0.110553,0.008375,0.132328,0.098827
spf13-viper,1.000000,0.000000,1.750000,1.000000
bcicen-ctop,0.250000,0.000000,0.250000,0.250000
gocolly-colly,0.008065,0.000000,0.008065,0.008065
helm-helm,0.093750,0.000000,0.093750,0.093750
uber-go-zap,0.666667,0.111111,1.000000,0.888889
go-redis-redis,0.900000,0.050000,0.900000,1.000000
kubernetes-kops,0.166667,0.000000,0.166667,0.166667
labstack-echo,0.250000,0.000000,0.250000,0.250000
tal-tech-go-zero,0.438710,0.025806,0.522581,0.451613
kubernetes-ingress-nginx,0.000000,0.000000,0.000000,0.000000
