ory-hydra,1.328525,0.379579,1.138736,0.000000,0.379579,0.189789
wtfutil-wtf,2.636783,3.955175,7.251154,1.977587,0.000000,0.000000
bettercap-bettercap,1.685867,2.950267,2.107334,0.702445,0.140489,0.000000
go-kit-kit,12.024699,6.174846,18.199545,7.366483,1.841621,0.000000
micro-micro,3.896848,2.750716,8.710602,2.636103,0.573066,0.000000
Netflix-chaosmonkey,1.443001,2.886003,0.000000,0.000000,0.000000,1.443001
rancher-rancher,0.896057,1.095181,2.787734,1.045400,0.298686,0.099562
go-gorm-gorm,2.557545,0.000000,7.672634,0.000000,0.000000,0.000000
ehang-io-nps,1.487357,1.487357,5.205751,2.974715,0.000000,0.000000
gorilla-websocket,2.093802,2.512563,3.768844,0.837521,0.418760,0.000000
ipfs-go-ipfs,4.214799,6.244146,9.210116,3.590384,2.185451,0.468311
snail007-goproxy,4.455446,4.950495,3.465347,0.495050,0.495050,0.495050
zyedidia-micro,2.728099,2.121855,1.212489,0.303122,0.303122,0.606244
containers-podman,3.392869,2.240574,5.889508,1.152295,0.896229,0.512131
wagoodman-dive,3.636364,9.090909,0.000000,0.000000,3.636364,0.000000
gogs-gogs,0.622924,0.830565,1.245847,0.207641,0.000000,0.000000
chrislusf-seaweedfs,3.113357,3.929975,3.521666,1.071811,0.714541,0.357270
gizak-termui,3.731343,3.731343,3.731343,0.000000,0.000000,0.000000
grafana-k6,7.115392,3.449887,9.738743,2.659288,2.192116,0.790599
grpc-grpc-go,2.968105,2.314116,17.339102,4.259315,1.408592,0.016769
k3s-io-k3s,1.677008,1.006205,7.211135,2.347812,1.173906,0.000000
syncthing-syncthing,5.626658,4.081514,13.906300,4.314743,2.069910,0.145768
asim-go-micro,5.453468,3.438056,13.159455,3.793717,1.422644,0.118554
txthinking-brook,0.720461,0.360231,1.080692,0.720461,0.000000,0.000000
go-gitea-gitea,1.650099,3.702660,8.009015,1.207389,0.362217,0.080493
go-kratos-kratos,5.046584,1.552795,10.093168,2.329193,0.388199,0.000000
halfrost-LeetCode-Go,15.037594,18.796992,22.556391,3.759398,0.000000,0.000000
restic-restic,3.720508,4.900181,9.437387,5.535390,2.087114,1.270417
dapr-dapr,2.276337,2.541027,6.670196,1.852832,0.211752,0.000000
evanw-esbuild,0.288996,0.794740,0.361246,0.000000,0.000000,0.000000
vitessio-vitess,1.903024,2.132595,4.349770,1.027029,0.664548,0.144992
v2fly-v2ray-core,2.264911,4.194279,11.408439,2.768224,0.838856,0.083886
filebrowser-filebrowser,1.814882,0.000000,1.814882,0.000000,0.000000,0.000000
pulumi-pulumi,4.684583,3.663133,4.966363,1.514564,1.021450,0.281779
tsenart-vegeta,0.264114,0.198085,0.330142,0.132057,0.198085,0.000000
v2ray-v2ray-core,2.344208,4.786091,11.134987,2.637234,0.781403,0.097675
elastic-beats,5.296207,5.359635,13.510085,4.249651,1.522263,0.126855
golang-go,4.899373,4.519761,8.048970,1.577764,1.210015,0.166080
influxdata-influxdb,1.529801,1.774569,3.314568,0.775099,0.509934,0.142781
spf13-viper,0.842223,0.561482,1.403706,0.561482,0.000000,0.000000
bcicen-ctop,11.655012,14.763015,6.216006,1.554002,2.331002,1.554002
gocolly-colly,1.611863,1.934236,1.934236,0.644745,0.322373,0.000000
helm-helm,0.576923,0.576923,0.961538,0.000000,0.000000,0.000000
uber-go-zap,4.672897,1.168224,6.425234,1.168224,2.336449,0.000000
go-redis-redis,2.393597,2.169197,5.011594,1.645598,0.523599,0.000000
kubernetes-kops,0.602712,0.703164,2.009041,0.652938,0.100452,0.000000
labstack-echo,9.197940,9.197940,6.254599,0.735835,0.000000,0.000000
tal-tech-go-zero,4.863396,5.292519,6.436847,1.644972,2.503218,0.071521
kubernetes-ingress-nginx,2.853207,5.017710,2.656434,0.590319,0.295159,0.000000
kubernetes-dashboard,7.322176,15.271967,17.573222,0.941423,0.418410,0.000000
