,Mutex,Lock,Unlock
count,73.0,73.0,73.0
mean,0.5858518493150685,0.8995020821917808,0.9195235890410958
std,0.6975339809984302,1.057470139034796,1.163321093348596
min,0.046744,0.0,0.0
25%,0.23116,0.34206,0.34206
50%,0.377558,0.615511,0.609088
75%,0.677048,1.103974,1.103974
max,5.029169,7.44317,8.650171
