,size,packages,files
count,119.0,119.0,119.0
mean,19.253143588235293,24.30732079831933,16.567920605042012
std,19.411075178330208,20.31516909110303,14.751883873990897
min,0.153675,0.386349,0.909091
25%,6.3936395,10.038759500000001,7.547459
50%,11.900908,20.689655,13.053435
75%,24.448323000000002,33.333333,20.027855000000002
max,88.167939,100.0,100.0
